kernel_name,BM,BN,BK,TM,TN,threads_per_block,gflops_median,gflops_stddev,regs_per_thread,smem_bytes,theoretical_occupancy_pct,M,N,K
2d_blocktile,128,32,8,8,8,64,3004.478,17.062,10,32768,12.5,4096,4096,4096
2d_blocktile,128,32,16,4,4,256,5753.370,118.017,10,32768,50.0,4096,4096,4096
2d_blocktile,128,32,16,4,8,128,2929.700,57.668,10,32768,25.0,4096,4096,4096
2d_blocktile,128,32,16,8,4,128,3212.193,23.176,10,32768,25.0,4096,4096,4096
2d_blocktile,128,32,16,8,8,64,3217.410,84.462,10,32768,12.5,4096,4096,4096
2d_blocktile,128,32,32,4,4,256,6055.245,192.204,10,32768,50.0,4096,4096,4096
2d_blocktile,128,32,32,4,8,128,6110.984,376.163,10,32768,25.0,4096,4096,4096
2d_blocktile,128,32,32,8,4,128,7129.302,230.554,10,32768,25.0,4096,4096,4096
2d_blocktile,128,32,32,8,8,64,3200.592,92.730,10,32768,12.5,4096,4096,4096
2d_blocktile,128,64,8,4,4,512,6623.018,383.559,10,32768,100.0,4096,4096,4096
2d_blocktile,128,64,8,4,8,256,5166.564,92.570,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,8,8,4,256,7111.344,280.008,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,8,8,8,128,4591.958,185.928,10,32768,25.0,4096,4096,4096
2d_blocktile,128,64,16,4,4,512,7308.002,267.976,10,32768,100.0,4096,4096,4096
2d_blocktile,128,64,16,4,8,256,3705.654,107.653,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,16,8,4,256,4707.071,249.633,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,16,8,8,128,4767.636,58.569,10,32768,25.0,4096,4096,4096
2d_blocktile,128,64,32,4,4,512,7800.642,491.790,10,32768,100.0,4096,4096,4096
2d_blocktile,128,64,32,4,8,256,5549.304,371.037,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,32,8,4,256,7818.044,379.891,10,32768,50.0,4096,4096,4096
2d_blocktile,128,64,32,8,8,128,4782.844,211.192,10,32768,25.0,4096,4096,4096
2d_blocktile,128,128,8,4,4,1024,6867.690,495.224,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,8,4,8,512,5610.823,351.307,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,8,8,4,512,6208.805,169.018,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,8,8,8,256,6454.210,389.840,10,32768,50.0,4096,4096,4096
2d_blocktile,128,128,16,4,4,1024,6766.159,425.239,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,16,4,8,512,4800.970,229.729,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,16,8,4,512,6630.123,215.067,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,16,8,8,256,6658.699,395.876,10,32768,50.0,4096,4096,4096
2d_blocktile,128,128,32,4,4,1024,8007.770,658.338,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,32,4,8,512,6199.541,413.865,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,32,8,4,512,8084.858,626.813,10,32768,100.0,4096,4096,4096
2d_blocktile,128,128,32,8,8,256,6737.357,238.975,10,32768,50.0,4096,4096,4096
warptile,64,128,8,4,4,512,10965.515
ERROR,1143.761
ERROR,10,32768,100.0,4096,4096,4096
warptile,64,128,8,4,8,256,6425.460
ERROR,543.909
ERROR,10,32768,50.0,4096,4096,4096
warptile,64,128,8,8,4,256,7692.884
ERROR,498.642
ERROR,10,32768,50.0,4096,4096,4096
warptile,64,128,8,8,8,128,1692.340
ERROR,15.858
ERROR,10,32768,25.0,4096,4096,4096
warptile,64,128,16,4,4,512,11357.525
ERROR,780.852
ERROR,10,32768,100.0,4096,4096,4096
warptile,64,128,16,4,8,256,3007.217
ERROR,22.559
ERROR,10,32768,50.0,4096,4096,4096
warptile,64,128,16,8,4,256,3329.017
ERROR,30.367
ERROR,10,32768,50.0,4096,4096,4096
warptile,64,128,16,8,8,128,1693.255
ERROR,19.403
ERROR,10,32768,25.0,4096,4096,4096
warptile,128,128,8,4,4,1024,17047.663
ERROR,1540.046
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,8,4,8,512,11484.161
ERROR,1652.024
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,8,8,4,512,13519.423
ERROR,1727.012
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,8,8,8,256,3293.924,111.693,10,32768,50.0,4096,4096,4096
warptile,128,128,16,4,4,1024,18635.610
ERROR,1610.636
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,16,4,8,512,5793.011
ERROR,150.953
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,16,8,4,512,6389.225
ERROR,268.296
ERROR,10,32768,100.0,4096,4096,4096
warptile,128,128,16,8,8,256,3328.636,15.704,10,32768,50.0,4096,4096,4096
