kernel_id,kernel_name,M,N,K,gflops_median,gflops_stddev,gflops_p10,gflops_p90,ms_median,ms_stddev,eff_bw_gbs,correctness,max_abs_error,gpu_name,sm_count,compute_cap_major,compute_cap_minor,gpu_mem_gb
10,cublas_sgemm_fp32,4096,4096,4096,13058.859,108.313,12947.880,13126.970,10.5246,0.0862,25.51,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,8192,8192,8192,7137.242,34.014,7099.072,7187.836,154.0527,0.7337,6.97,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,8192,8192,8192,5947.819,21.414,5911.973,5963.241,184.8596,0.6690,5.81,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,8192,8192,8192,46776.136,534.288,45902.785,47251.316,23.5058,0.2729,45.68,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,8192,8192,8192,13651.374,33.362,13640.306,13700.388,80.5422,0.1957,13.33,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,8192,512,512,4629.714,23.417,4587.433,4651.568,0.9277,0.0047,55.38,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,8192,512,512,4226.065,16.931,4202.709,4245.838,1.0163,0.0041,50.56,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,8192,512,512,13997.782,162.346,13845.158,14249.074,0.3068,0.0035,167.45,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,8192,512,512,9990.527,14.291,9982.576,10015.501,0.4299,0.0006,119.52,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,512,8192,512,4638.274,11.891,4620.295,4649.698,0.9260,0.0024,55.49,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,512,8192,512,4249.884,18.868,4219.980,4271.185,1.0106,0.0045,50.84,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,512,8192,512,14081.491,137.759,13970.973,14250.436,0.3050,0.0030,168.46,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,512,8192,512,9973.823,22.924,9939.109,9987.924,0.4306,0.0010,119.32,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,512,512,8192,1550.297,306.870,1549.082,2056.135,2.7704,0.4138,12.87,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,512,512,8192,1388.756,222.007,1031.936,1394.416,3.0927,0.6647,11.53,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,512,512,8192,6316.723,22.979,6280.749,6330.726,0.6799,0.0025,52.43,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,512,512,8192,9660.817,16.637,9635.156,9670.074,0.4446,0.0008,80.19,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,2048,512,4096,4410.668,607.195,4380.010,4769.864,1.9475,0.1890,25.84,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,2048,512,4096,3665.974,799.202,3503.981,5134.416,2.3432,0.3683,21.48,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,2048,512,4096,7917.750,499.530,7877.368,7944.251,1.0849,0.1802,46.39,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,2048,512,4096,9770.349,13.541,9754.196,9778.393,0.8792,0.0012,57.25,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,1024,4096,2048,6728.380,1230.153,4831.865,6784.379,2.5533,0.6441,29.57,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,1024,4096,2048,6009.301,971.517,4438.340,6103.085,2.8589,0.6196,26.41,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,1024,4096,2048,18684.169,1250.837,18598.351,18982.509,0.9195,0.1781,82.11,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,1024,4096,2048,10538.142,205.240,10525.229,10873.379,1.6303,0.0308,46.31,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,256,256,16384,516.454,67.324,385.492,518.584,4.1581,0.7250,8.20,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,256,256,16384,350.120,34.613,257.148,350.435,6.1336,0.8244,5.56,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,256,256,16384,3349.331,29.950,3336.608,3407.389,0.6412,0.0057,53.15,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,256,256,16384,8650.837,36.650,8594.885,8671.516,0.2482,0.0011,137.28,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,4096,128,4096,2960.870,14.378,2922.567,2963.924,1.4506,0.0071,50.60,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,4096,128,4096,2052.133,361.442,2049.905,2732.568,2.0929,0.2773,35.07,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,4096,128,4096,4613.006,262.580,4606.895,4619.278,0.9311,0.1228,78.84,PASS,0.001674,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,4096,128,4096,9424.741,252.026,9390.452,9849.397,0.4557,0.0117,161.07,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,3000,1500,1500,4235.353,1046.697,4144.636,5828.967,3.1875,0.5739,19.76,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,3000,1500,1500,5043.215,918.582,3666.789,5142.561,2.6769,0.6633,23.54,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,3000,1500,1500,12975.977,749.332,12875.664,13105.494,1.0404,0.1390,60.55,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,3000,1500,1500,10095.723,114.450,10083.994,10383.185,1.3372,0.0147,47.11,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,3001,3001,3001,23353.261,3288.315,17478.077,23438.353,2.3146,0.4352,62.25,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,3001,3001,3001,12502.872,862.659,10663.056,12792.334,4.3233,0.3441,33.33,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,4097,4097,4097,29680.750,3948.685,22801.417,30264.978,4.6340,0.8022,57.96,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,4097,4097,4097,12553.031,121.669,12326.585,12675.540,10.9567,0.1064,24.51,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,1000,1000,1000,4002.305,18.406,3980.537,4026.128,0.4997,0.0023,32.02,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,1000,1000,1000,3233.567,24.077,3201.844,3266.232,0.6185,0.0046,25.87,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,1000,1000,1000,5317.565,39.670,5284.474,5369.324,0.3761,0.0028,42.54,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,1000,1000,1000,8602.891,28.869,8566.338,8633.789,0.2325,0.0008,68.82,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,768,768,768,2444.022,14.168,2430.593,2465.411,0.3707,0.0021,25.46,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,768,768,768,1991.807,15.327,1979.081,2015.416,0.4548,0.0035,20.75,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,768,768,768,4460.268,47.013,4418.158,4469.775,0.2031,0.0022,46.46,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,768,768,768,7134.968,40.645,7072.407,7140.546,0.1270,0.0007,74.32,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,511,513,511,1331.455,13.456,1316.842,1336.237,0.2012,0.0021,20.82,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,511,513,511,4437.950,53.298,4364.836,4499.002,0.0604,0.0007,69.41,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,1024,3000,1024,4611.260,47.208,4578.007,4711.171,1.3644,0.0137,30.09,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,1024,3000,1024,3504.100,187.198,3479.707,3968.760,1.7955,0.0840,22.87,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,1024,3000,1024,11543.786,62.960,11462.686,11591.974,0.5450,0.0030,75.34,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,1024,3000,1024,10109.420,10.228,10105.264,10129.212,0.6223,0.0006,65.97,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,3333,3333,3333,24909.556,2143.863,19747.364,25133.894,2.9728,0.3223,59.79,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,3333,3333,3333,12567.657,731.991,12058.546,12869.030,5.8923,0.4159,30.17,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
0,naive,16,16,16,1.571,0.168,1.354,1.816,0.0052,0.0005,0.79,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,16,16,16,1.213,0.103,1.053,1.333,0.0068,0.0006,0.61,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,16,16,16,0.607,0.030,0.573,0.655,0.0135,0.0007,0.30,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,16,16,16,0.784,0.034,0.721,0.800,0.0104,0.0005,0.39,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
0,naive,32,32,32,8.159,0.575,8.000,9.267,0.0080,0.0005,2.04,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,32,32,32,9.894,0.836,8.494,10.667,0.0066,0.0006,2.47,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,32,32,32,3.141,0.093,2.990,3.200,0.0209,0.0007,0.79,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,32,32,32,5.120,0.294,4.707,5.333,0.0128,0.0009,1.28,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
0,naive,64,64,64,48.617,2.280,45.135,51.200,0.0108,0.0005,6.08,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,64,64,64,60.015,3.801,54.613,63.776,0.0087,0.0006,7.50,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,64,64,64,14.372,0.217,14.222,14.722,0.0365,0.0005,1.80,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,64,64,64,42.667,1.593,40.950,42.667,0.0123,0.0005,5.33,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
0,naive,128,128,128,231.372,5.824,227.556,242.322,0.0181,0.0004,14.46,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,128,128,128,299.936,11.683,292.571,321.334,0.0140,0.0005,18.75,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,128,128,128,60.235,0.490,59.952,60.732,0.0696,0.0006,3.76,PASS,0.000001,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,128,128,128,303.759,15.968,292.571,325.322,0.0138,0.0008,18.98,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
0,naive,256,256,256,1009.703,21.424,982.549,1024.000,0.0332,0.0008,31.55,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,256,256,256,1190.887,25.320,1170.286,1230.723,0.0282,0.0006,37.22,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,256,256,256,246.289,1.226,244.703,248.131,0.1362,0.0007,7.70,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,256,256,256,1831.575,60.018,1817.289,1935.359,0.0183,0.0006,57.24,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
